"st_cnty","night_pop","day_pop"
"17029","50885","56201"
"17031","5180493","5521128"
"17033","18807","18394"
"17035","10808","7850"
"17037","104143","100935"
"17039","15769","13920"
"17041","19479","17402"
"17043","928589","1103255"
"17045","17360","16349"
"17047","6392","5955"
"17049","34208","38662"
"17051","21416","17019"
"17053","13264","12625"
"17055","38701","32195"
"17057","34844","29197"
"17059","5058","4023"
"17061","13044","9847"
"17063","50972","49342"
"17065","8163","5955"
"17067","17844","14425"
"17069","3910","3370"
"17071","6709","4258"
"17073","49090","41255"
"17075","27604","22106"
"17077","57419","62435"
"17079","9611","7297"
"17081","37820","43281"
"17083","21847","15976"
"17085","21366","18923"
"17087","12456","11080"
"17089","534216","501970"
"17091","110024","107096"
"17093","127915","95179"
"17095","50112","48909"
"17097","700832","701352"
"17099","109430","102731"
"17101","15765","14781"
"17103","34223","31100"
"17105","35761","34073"
"17107","28925","26986"
"17109","29955","31293"
"17111","308570","253189"
"17113","172828","188192"
"17115","104712","111311"
"17117","45313","34533"
"17119","264461","253396"
"17121","37620","34786"
"17123","11534","9768"
"17125","13565","11290"
"17127","14080","11916"
"17129","12288","7615"
"17131","15601","9849"
"17133","34335","25974"
"17135","28601","26844"
"17137","33976","33869"
"17139","14717","11797"
"17141","50923","43215"
"17143","180621","212802"
"17145","21174","17993"
"17147","16396","12723"
"17149","15611","12906"
"17151","4212","3201"
"17153","5463","6282"
"17155","5740","4805"
"17157","32106","31939"
"17159","15763","15580"
"17161","143477","158702"
"17163","261059","239031"
"17165","23906","23899"
"17167","195348","236200"
"17169","6907","5599"
"17171","4926","3639"
"17173","21741","16606"
"17175","5427","4493"
"17177","44753","43288"
"17179","132328","123803"
"17181","16841","15404"
"17183","76806","75169"
"17185","11549","11481"
"17187","17032","15515"
"17189","13995","11568"
"17191","16332","14626"
"17193","13665","12215"
"17195","55626","51760"
"17197","692310","602714"
"17199","67056","68228"
"17201","284081","288801"
"17203","38463","30417"
"18001","35636","32579"
"18003","375351","394727"
"18005","82753","90955"
"18007","8653","7261"
"18009","11930","10070"
"18011","66999","62731"
"18013","15234","10955"
"18015","20127","15006"
"18017","37955","35505"
"18019","117360","112026"
"18021","26170","22329"
"18023","32250","26308"
"18025","10558","7632"
"18027","33147","28733"
"18029","49568","38542"
"18031","26794","26903"
"18033","43226","43685"
"18035","114772","115754"
"18037","42565","51259"
"18039","205560","235292"
"18041","23047","20690"
"18043","77781","72612"
"18045","16351","13677"
"18047","22736","16570"
"18049","20092","16758"
"18051","33452","36581"
"18053","65936","67027"
"18055","32006","25602"
"18057","330086","298561"
"18059","76351","62894"
"18061","40350","31728"
"18063","167009","151205"
"18065","48271","40449"
"18067","82366","89577"
"18069","36240","32874"
"18071","44111","44647"
"18073","33370","29547"
"18075","20764","18909"
"18077","32208","31790"
"18079","27611","22269"
"18081","156225","133587"
"18083","36895","45856"
"18085","79344","78955"
"18087","39330","34848"
"18089","484411","460106"
"18091","110007","105769"
"18093","45668","38952"
"18095","129641","113438"
"18097","954670","1169461"
"18099","46248","44462"
"18101","10217","12878"
"18103","35567","29928"
"18105","146917","162263"
"18107","38346","36425"
"18109","70116","51184"
"18111","14011","10539"
"18113","47532","42978"
"18115","5844","4189"
"18117","19489","18892"
"18119","20845","16093"
"18121","16927","13145"
"18123","19102","17060"
"18125","12410","9514"
"18127","169594","151030"
"18129","25540","20828"
"18131","12469","10992"
"18133","37779","37319"
"18135","24851","20640"
"18137","28523","27544"
"18139","16663","12469"
"18141","270771","279712"
"18143","23878","22070"
"18145","44593","41052"
"18147","20327","17058"
"18149","22935","17464"
"18151","34586","31716"
"18153","20690","18385"
"18155","10717","7747"
"18157","193048","201723"
"18159","15128","11516"
"18161","7037","5035"
"18163","180974","209123"
"18165","15479","13205"
"18167","107386","118131"
"18169","31280","30674"
"18171","8263","5983"
"18173","62567","46408"
"18175","27943","20780"
"18177","65936","69695"
"18179","28206","25338"
"18181","24133","20885"
"18183","34074","30161"
"19001","7063","5446"
"19003","3645","2795"
"19005","13832","11965"
"19007","12437","11570"
"19009","5506","4188"
"19011","25642","18761"
"19013","132408","148588"
"19015","26346","21198"
"19017","24947","23354"
"19019","21199","16026"
"19021","19874","21263"
"19023","14539","9383"
"19025","9699","8635"
"19027","20154","21952"
"19029","12930","15099"
"19031","18627","14118"
"19033","42647","46876"
"19035","11321","10592"
"19037","11964","10807"
"19039","9423","9661"
"19041","16134","16398"
"19043","17556","14303"
"19045","46518","45964"
"19047","17158","15993"
"19049","90180","91165"
"19051","9017","5444"
"19053","7890","6588"
"19055","17069","13042"
"19057","39138","45490"
"19059","17153","18110"
"19061","96854","109875"
"19063","9253","8380"
"19065","19660","18780"
"19067","15761","13700"
"19069","10124","8655"
"19071","6993","5904"
"19073","8981","7203"
"19075","12304","10576"
"19077","10720","8753"
"19079","14952","14403"
"19081","10712","11185"
"19083","16868","16370"
"19085","14134","11544"
"19087","20067","20968"
"19089","9187","8553"
"19091","9547","8657"
"19093","6841","6637"
"19095","16141","16743"
"19097","19432","15329"
"19099","37147","30561"
"19101","18381","16956"
"19103","151260","162418"
"19105","20744","17125"
"19107","10225","7117"
"19109","14908","13782"
"19111","34055","34690"
"19113","225909","252380"
"19115","11169","9791"
"19117","8645","7643"
"19119","11811","9866"
"19121","16249","12247"
"19123","22000","18466"
